id,sender_surname,sender_forename,recipient_surname,recipient_forename,sorting_date,date,sender_address,recipient_address,source,languages, extent, filename
RS-LP-000948,"","","Baker","Henry",1761-07-01,"1 July 1761","","","L&P/4/118, Royal Society","","","RS-LP-000948.xml"
RS-MM-000949,"","","","",1860-01-01,"c.1860s","","","MM/14/230, Royal Society","","","RS-MM-000949.xml"
RS-LP-000949,"Stephens","John","Royal Society","",1762-04-14,"14 April 1762","","","L&P/4/121, Royal Society","","","RS-LP-000949.xml"
RS-LP-000950,"Arderon","William","Baker","Henry",1762-11-09,"9 November 1762","","","L&P/4/122, Royal Society","","","RS-LP-000950.xml"
RS-MM-000950,"","","","",1860-01-01,"c.1860s","","","MM/14/231, Royal Society","","","RS-MM-000950.xml"
RS-LP-000951,"Duperon","Amquetil","Birch","Thomas",1762-09-24,"24 September 1762","","","L&P/4/123, Royal Society","","","RS-LP-000951.xml"
RS-MM-000951,"Weber","Ernst Heinrich","","",1860-01-01,"c.1860s","","","MM/14/236, Royal Society","","","RS-MM-000951.xml"
RS-LP-000952,"Wollaston","Charlton","Birch","Thomas",1762-10-29,"29 October 1762","","","L&P/4/124, Royal Society","","","RS-LP-000952.xml"
RS-MM-000952,"Fallows","Fearon","Barrow","John",1824-01-10,"10 January 1824","","","MM/15/3, Royal Society","","","RS-MM-000952.xml"
RS-LP-000953,"Edwards","George","Birch","Thomas",1762-10-09,"9 October 1762","","","L&P/4/125, Royal Society","","","RS-LP-000953.xml"
RS-MM-000953,"Stokes","George Gabriel","Smith","Archibald",1880-01-01,"1880","","","MM/15/7, Royal Society","","","RS-MM-000953.xml"
RS-LP-000954,"Lysons","Daniel","Parker","George",1762-11-24,"24 November 1762","","","L&P/4/126, Royal Society","","","RS-LP-000954.xml"
RS-MM-000954,"Stokes","George Gabriel","Romanes","George John",1881-06-20,"20 June 1881","","","MM/15/8, Royal Society","","","RS-MM-000954.xml"
RS-LP-000955,"Morand","Sauveur Francois","Parker","George",1762-07-03,"3 July 1762","","","L&P/4/127, Royal Society","","","RS-LP-000955.xml"
RS-MM-000955,"Bertrand","Joseph Louis Francois","Royal Society","",1875-08-19,"19 August 1875","","","MM/15/12, Royal Society","","","RS-MM-000955.xml"
RS-LP-000956,"Maine","David","Royal Society","",1762-04-20,"20 April 1762","","","L&P/4/130, Royal Society","","","RS-LP-000956.xml"
RS-MM-000956,"Sylvester","James Joseph","Cayley","Arthur",1875-01-13,"13 January 1875","","","MM/15/13, Royal Society","","","RS-MM-000956.xml"
RS-LP-000957,"Raspe","Rudolf Eric","Parker","George",1763-09-20,"20 September 1763","","","L&P/4/132, Royal Society","","","RS-LP-000957.xml"
RS-MM-000957,"Sylvester","James Joseph","Cayley","Arthur",1875-01-26,"26 January 1875","","","MM/15/14, Royal Society","","","RS-MM-000957.xml"
RS-MM-000958,"Sylvester","James Joseph","Cayley","Arthur",1875-01-29,"29 January 1875","","","MM/15/15, Royal Society","","","RS-MM-000958.xml"
