id,sender_surname,sender_forename,recipient_surname,recipient_forename,sorting_date,date,sender_address,recipient_address,source,languages, extent, filename
FL-0604,"Langton","E. C.","Darwin","H. E.",1865-11-01,"[November 1865]","","","DAR 219.8: 3","","","FL-0604.xml"
FL-0605,"Darwin","W. E.","Darwin","H. E.",1866-01-01,"[1866]","Hotel Waterloo| Edinburgh","","DAR 219.8: 4","","","FL-0605.xml"
FL-0606,"Wedgwood?","S. E.","Darwin","H. E.",1867-01-19,"19 January 1867","Tenby","","DAR 219.8: 5","","","FL-0606.xml"
FL-0607,"Darwin","W. E.","Darwin","H. E.",1868-05-26,"26 May 1868","Southampton","","DAR 219.8: 6","","","FL-0607.xml"
FL-0608,"Allen","Fanny","Darwin","H. E.",1868-05-19,"19 May [1868]","","","DAR 219.8: 7","","","FL-0608.xml"
FL-0609,"Darwin","Elizabeth","Darwin","H. E.",1868-09-06,"6 September [1868]","","","DAR 219.8: 8","","","FL-0609.xml"
FL-0610,"Darwin","Elizabeth","Darwin","H. E.",1868-09-12,"[12 September 1868]","","","DAR 219.8: 9","","","FL-0610.xml"
FL-0611,"Allen","Fanny","Darwin","H. E.",1869-01-08,"8 January [1869]","H Lane","","DAR 219.9: 10","","","FL-0611.xml"
FL-0612,"Sedgwick","Sara","Darwin","H. E.",1869-05-01,"[May 1869]","18 Queen's Gate Terrace. W.","","DAR 219.8: 11","","","FL-0612.xml"
FL-0613,"Sedgwick","Sara","Darwin","H. E.",1869-06-14,"14 June 1869","La Pacotte Vevey","","DAR 219.8: 12","","","FL-0613.xml"
FL-0614,"Carter","E. M. Bonham","Darwin","H. E.",1869-06-15,"15 and 17 June 1869","64 St Giles | Oxford","","DAR 219.8: 13","","","FL-0614.xml"
FL-0615,"Carter?","E. M. Bonham","Darwin","H. E.",1869-09-08,"8–12 September [1869]","Write to this Hotel now| CramienHof Kreuznach|Rhenish Prussia","","DAR 219.8: 14","","","FL-0615.xml"
FL-0616,"Darwin","Francis","Darwin","H. E.",1870-01-22,"[22 January 1870]","Downe","","DAR 219.8: 15","","","FL-0616.xml"
FL-0617,"Darwin","Elizabeth","Darwin","H. E.",1870-01-28,"28 January [1870]","","","DAR 219.8: 16","","","FL-0617.xml"
