id,sender_surname,sender_forename,recipient_surname,recipient_forename,sorting_date,date,sender_address,recipient_address,source,languages, extent, filename
TALBOT6118,"Awdry","West","Talbot","William Henry Fox",1848-03-10,"10 Mar 1848","","","","","","TALBOT6118.xml"
TALBOT6119,"Stilwell","John G","Talbot","William Henry Fox",1848-03-11,"11 Mar 1848","","","","","","TALBOT6119.xml"
TALBOT6120,"Talbot","William Henry Fox","Marrian","& GAUSBY",1848-03-16,"16 Mar 1848","","","","","","TALBOT6120.xml"
TALBOT6121,"Marrian","& GAUSBY","Talbot","William Henry Fox",1848-03-17,"17 Mar 1848","","","","","","TALBOT6121.xml"
TALBOT6122,"Telfer","Tobias S","Talbot","William Henry Fox",1848-03-17,"17 Mar 1848","","","","","","TALBOT6122.xml"
TALBOT6123,"Mundy","née Frampton, Harriot Georgiana","Talbot","William Henry Fox",1848-03-23,"23 Mar 1848","","","","","","TALBOT6123.xml"
TALBOT6124,"Malone","Thomas Augustine","Talbot","William Henry Fox",1848-03-24,"24 Mar 1848","","","","","","TALBOT6124.xml"
TALBOT6125,"Schrader","Eberhard","Talbot","William Henry Fox",1874-02-18,"18 Feb 1874","","","","","","TALBOT6125.xml"
TALBOT6126,"Talbot","William Henry Fox","Talbot","Mary Thereza",1824-11-11,"11 Nov 1824","","","","","","TALBOT6126.xml"
TALBOT6127,"Fitzmaurice","née Fox Strangways, Louisa Emma","Talbot","William Henry Fox",1848-03-28,"28 Mar 1848","","","","","","TALBOT6127.xml"
TALBOT6128,"Marrian","& GAUSBY","Talbot","William Henry Fox",1848-03-29,"29 Mar 1848","","","","","","TALBOT6128.xml"
TALBOT6129,"Murray","John","Talbot","William Henry Fox",1848-03-31,"31 Mar 1848","","","","","","TALBOT6129.xml"
TALBOT6130,"Frampton","James","Talbot","William Henry Fox",1848-04-03,"3 Apr 1848","","","","","","TALBOT6130.xml"
TALBOT6131,"Macaulay","Thomas Babbington","Talbot","William Henry Fox",1848-04-03,"3 Apr 1848","","","","","","TALBOT6131.xml"
TALBOT6132,"Kelland","Philip","Talbot","William Henry Fox",1848-04-05,"5 Apr 1848","","","","","","TALBOT6132.xml"
TALBOT6133,"Marrian","& GAUSBY","Talbot","William Henry Fox",1848-04-05,"5 Apr 1848","","","","","","TALBOT6133.xml"
TALBOT6134,"Schrader","Eberhard","Talbot","William Henry Fox",1874-03-07,"7 Mar 1874","","","","","","TALBOT6134.xml"
TALBOT6135,"Gaisford","née Feilding, Henrietta Horatia Maria","Talbot","William Henry Fox",1848-04-15,"15 Apr 1848","","","","","","TALBOT6135.xml"
TALBOT6136,"Talbot","William Henry Fox","Jones","Calvert Richard",1848-04-22,"22 Apr 1848","","","","","","TALBOT6136.xml"
TALBOT6137,"Strangways","William Thomas Horner Fox","Talbot","William Henry Fox",1848-04-24,"24 Apr 1848","","","","","","TALBOT6137.xml"
TALBOT6138,"Brewster","David","Talbot","William Henry Fox",1848-04-25,"25 Apr 1848","","","","","","TALBOT6138.xml"
TALBOT6139,"Jones","Calvert Richard","Talbot","William Henry Fox",1848-04-27,"27 Apr 1848","","","","","","TALBOT6139.xml"
TALBOT6140,"Malone","Thomas Augustine","Talbot","William Henry Fox",1848-04-28,"28 Apr 1848","","","","","","TALBOT6140.xml"
TALBOT6141,"Edgcumbe","née Feilding, Caroline Augusta","Talbot","William Henry Fox",1848-04-28,"28 Apr 1848","","","","","","TALBOT6141.xml"
TALBOT6142,"Jones","Calvert Richard","Talbot","William Henry Fox",1848-05-02,"2 May 1848","","","","","","TALBOT6142.xml"
TALBOT6143,"Martius","Carl Friedrich Philipp von","Talbot","William Henry Fox",1848-05-09,"9 May 1848","","","","","","TALBOT6143.xml"
TALBOT6144,"Schrader","Eberhard","Talbot","William Henry Fox",1874-02-24,"24 Feb 1874","","","","","","TALBOT6144.xml"
TALBOT6145,"Gaisford","née Feilding, Henrietta Horatia Maria","Talbot","William Henry Fox",1848-05-18,"18 May 1848","","","","","","TALBOT6145.xml"
TALBOT6146,"Talbot","Mary Thereza","Talbot","William Henry Fox",1848-05-25,"25 May 1848","","","","","","TALBOT6146.xml"
TALBOT6147,"Strangways","William Thomas Horner Fox","Talbot","William Henry Fox",1848-05-29,"29 May 1848","","","","","","TALBOT6147.xml"
TALBOT6148,"Bouard","Alfred François","Talbot","William Henry Fox",1848-06-09,"9 Jun 1848","","","","","","TALBOT6148.xml"
TALBOT6149,"Schrader","Eberhard","Talbot","William Henry Fox",1874-03-23,"23 Mar 1874","","","","","","TALBOT6149.xml"
TALBOT6150,"Talbot","née Mundy, Constance","Talbot","William Henry Fox",1848-06-15,"15 Jun 1848","","","","","","TALBOT6150.xml"
TALBOT6151,"Schrader","Eberhard","Talbot","William Henry Fox",1874-04-12,"12 Apr 1874","","","","","","TALBOT6151.xml"
TALBOT6152,"Schrader","Eberhard","Talbot","William Henry Fox",1874-06-05,"5 Jun 1874","","","","","","TALBOT6152.xml"
TALBOT6153,"Talbot","William Henry Fox","Bouard","Alfred François",1848-06-17,"17 Jun 1848","","","","","","TALBOT6153.xml"
TALBOT6154,"Talbot","William Henry Fox","Henneman","Nicolaas",1848-06-17,"17 Jun 1848","","","","","","TALBOT6154.xml"
TALBOT6155,"Malone","Thomas Augustine","Talbot","William Henry Fox",1848-06-18,"18 Jun 1848","","","","","","TALBOT6155.xml"
TALBOT6156,"Jones","Calvert Richard","Talbot","William Henry Fox",1848-06-19,"19 Jun 1848","","","","","","TALBOT6156.xml"
TALBOT6157,"Kilburn","William Edward","Talbot","William Henry Fox",1848-06-19,"19 Jun 1848","","","","","","TALBOT6157.xml"
TALBOT6158,"Talbot","William Henry Fox","Colls","Richard",1848-06-21,"21 Jun 1848","","","","","","TALBOT6158.xml"
TALBOT6159,"Jones","Calvert Richard","Talbot","William Henry Fox",1848-07-02,"2 Jul 1848","","","","","","TALBOT6159.xml"
TALBOT6160,"Gaisford","née Feilding, Henrietta Horatia Maria","Talbot","William Henry Fox",1848-07-04,"4 Jul 1848","","","","","","TALBOT6160.xml"
TALBOT6161,"Schrader","Eberhard","Talbot","William Henry Fox",1874-05-19,"19 May 1874","","","","","","TALBOT6161.xml"
TALBOT6162,"Awdry","West","Talbot","William Henry Fox",1848-07-10,"10 Jul 1848","","","","","","TALBOT6162.xml"
TALBOT6163,"Jerdan","William","Talbot","William Henry Fox",1848-07-22,"22 Jul 1848","","","","","","TALBOT6163.xml"
TALBOT6164,"Cole","née Fox Strangways, Mary Lucy","Talbot","William Henry Fox",1848-07-29,"29 Jul 1848","","","","","","TALBOT6164.xml"
TALBOT6165,"Malone","Thomas Augustine","Talbot","William Henry Fox",1848-08-02,"2 Aug 1848","","","","","","TALBOT6165.xml"
TALBOT6166,"Harrison","David","Talbot","William Henry Fox",1848-08-21,"21 Aug 1848","","","","","","TALBOT6166.xml"
TALBOT6167,"Awdry","West","Talbot","William Henry Fox",1848-08-22,"22 Aug 1848","","","","","","TALBOT6167.xml"
TALBOT6168,"Talbot","Mary Thereza","Talbot","William Henry Fox",1848-08-29,"29 Aug 1848","","","","","","TALBOT6168.xml"
TALBOT6169,"Doublas","Henry Alexander","Talbot","William Henry Fox",1848-08-30,"30 Aug 1848","","","","","","TALBOT6169.xml"
TALBOT6170,"Mcfarlane","A","Talbot","William Henry Fox",1848-08-30,"30 Aug 1848","","","","","","TALBOT6170.xml"
TALBOT6171,"Gaisford","née Feilding, Henrietta Horatia Maria","Talbot","William Henry Fox",1848-09-03,"3 Sep 1848","","","","","","TALBOT6171.xml"
TALBOT6172,"Doglas","Henry Alexander","Talbot","William Henry Fox",1848-09-11,"11 Sep 1848","","","","","","TALBOT6172.xml"
TALBOT6173,"Schrader","Eberhard","Talbot","William Henry Fox",1874-07-23,"23 Jul 1874","","","","","","TALBOT6173.xml"
TALBOT6174,"Awdry","West","Talbot","William Henry Fox",1848-09-16,"16 Sep 1848","","","","","","TALBOT6174.xml"
TALBOT6175,"Malone","Thomas Augustine","Talbot","William Henry Fox",1848-09-22,"22 Sep 1848","","","","","","TALBOT6175.xml"
TALBOT6176,"Edgcumbe","née Feilding, Caroline Augusta","Talbot","William Henry Fox",1848-09-23,"23 Sep 1848","","","","","","TALBOT6176.xml"
TALBOT6177,"Awdry","West","Talbot","William Henry Fox",1848-09-27,"27 Sep 1848","","","","","","TALBOT6177.xml"
TALBOT6178,"Talbot","Mary Thereza","Talbot","William Henry Fox",1848-10-06,"6 Oct 1848","","","","","","TALBOT6178.xml"
TALBOT6179,"Gaisford","née Feilding, Henrietta Horatia Maria","Talbot","William Henry Fox",1848-10-12,"12 Oct 1848","","","","","","TALBOT6179.xml"
TALBOT6180,"Lower","Marc Antony","Talbot","William Henry Fox",1848-10-19,"19 Oct 1848","","","","","","TALBOT6180.xml"
TALBOT6181,"Talbot","William Henry Fox","Lower","Marc Antony",1848-10-22,"22 Oct 1848","","","","","","TALBOT6181.xml"
TALBOT6182,"Montgomerie","George Stephen Molyneux","Talbot","William Henry Fox",1848-10-26,"26 Oct 1848","","","","","","TALBOT6182.xml"
TALBOT6183,"Halliwell-Phillipps","James Orchard","Talbot","William Henry Fox",1848-10-30,"30 Oct 1848","","","","","","TALBOT6183.xml"
TALBOT6184,"Talbot","Mary Thereza","Talbot","William Henry Fox",1848-10-30,"30 Oct 1848","","","","","","TALBOT6184.xml"
TALBOT6185,"Vogel","Friedrich Carl","Talbot","William Henry Fox",1848-10-31,"31 Oct 1848","","","","","","TALBOT6185.xml"
TALBOT6186,"Schrader","Eberhard","Talbot","William Henry Fox",1875-05-08,"8 May 1875","","","","","","TALBOT6186.xml"
TALBOT6187,"Murray","Amelina Matilda","Talbot","William Henry Fox",1848-11-11,"11 Nov 1848","","","","","","TALBOT6187.xml"
TALBOT6188,"Gaisford","née Feilding, Henrietta Horatia Maria","Talbot","William Henry Fox",1848-11-19,"19 Nov 1848","","","","","","TALBOT6188.xml"
TALBOT6189,"Bridges","George Wilson","Talbot","William Henry Fox",1848-11-20,"20 Nov 1848","","","","","","TALBOT6189.xml"
TALBOT6190,"Estcourt","Thomas Henry Sutton Sotheron Bucknall","Talbot","William Henry Fox",1848-11-22,"22 Nov 1848","","","","","","TALBOT6190.xml"
TALBOT6191,"Edgcumbe","née Feilding, Caroline Augusta","Talbot","William Henry Fox",1848-12-24,"24 Dec 1848","","","","","","TALBOT6191.xml"
TALBOT6192,"Gaisford","née Feilding, Henrietta Horatia Maria","Talbot","William Henry Fox",1848-11-25,"25 Nov 1848","","","","","","TALBOT6192.xml"
TALBOT6193,"Grivel","L (son of Joseph Grivel)","Talbot","William Henry Fox",1877-01-29,"29 Jan 1877","","","","","","TALBOT6193.xml"
TALBOT6194,"Montgomerie","George Stephen Molyneux","Talbot","William Henry Fox",1848-12-04,"4 Dec 1848","","","","","","TALBOT6194.xml"
TALBOT6195,"Talbot","William Henry Fox","Gaisford","née Feilding, Henrietta Horatia Maria",1848-12-05,"5 Dec 1848","","","","","","TALBOT6195.xml"
TALBOT6196,"Talbot","William Henry Fox","Murray","Robert",1848-12-10,"10 Dec 1848","","","","","","TALBOT6196.xml"
TALBOT6197,"Murray","Robert","Talbot","William Henry Fox",1848-12-01,"Dec 1848","","","","","","TALBOT6197.xml"
TALBOT6198,"Talbot","William Henry Fox","Hooker","William Jackson",1849-01-04,"4 Jan 1849","","","","","","TALBOT6198.xml"
TALBOT6199,"Hooker","William Jackson","Talbot","William Henry Fox",1849-01-05,"5 Jan 1849","","","","","","TALBOT6199.xml"
TALBOT6200,"Talbot","William Henry Fox","Hooker","William Jackson",1849-01-06,"6 Jan 1849","","","","","","TALBOT6200.xml"
TALBOT6201,"Haigh","Daniel Henry","Talbot","William Henry Fox",1875-03-17,"17 Mar 1875","","","","","","TALBOT6201.xml"
TALBOT6202,"Awdry","West","Talbot","William Henry Fox",1849-01-11,"11 Jan 1849","","","","","","TALBOT6202.xml"
TALBOT6203,"Oppert","Julius","Talbot","William Henry Fox",1862-05-03,"3 May 1862","","","","","","TALBOT6203.xml"
TALBOT6204,"Arnold","Thomas Kerchever","Talbot","William Henry Fox",1849-01-16,"16 Jan 1849","","","","","","TALBOT6204.xml"
TALBOT6205,"Cooper","William Ricketts","Talbot","William Henry Fox",1872-06-10,"10 Jun 1872","","","","","","TALBOT6205.xml"
TALBOT6206,"Brewster","David","Talbot","William Henry Fox",1849-01-22,"22 Jan 1849","","","","","","TALBOT6206.xml"
TALBOT6207,"King","William Charles","Talbot","William Henry Fox",1849-01-22,"22 Jan 1849","","","","","","TALBOT6207.xml"
TALBOT6208,"Montgomerie","George Stephen Molyneux","Talbot","William Henry Fox",1849-01-22,"22 Jan 1849","","","","","","TALBOT6208.xml"
TALBOT6209,"Gaisford","née Feilding, Henrietta Horatia Maria","Talbot","William Henry Fox",1849-02-03,"3 Feb 1849","","","","","","TALBOT6209.xml"
TALBOT6210,"Langenheim","W & F Co","Talbot","William Henry Fox",1849-02-05,"5 Feb 1849","","","","","","TALBOT6210.xml"
TALBOT6211,"Harrison","David","Talbot","William Henry Fox",1849-02-08,"8 Feb 1849","","","","","","TALBOT6211.xml"
TALBOT6212,"Edgcumbe","née Feilding, Caroline Augusta","Talbot","William Henry Fox",1849-02-14,"14 Feb 1849","","","","","","TALBOT6212.xml"
TALBOT6213,"Malone","Thomas Augustine","Talbot","William Henry Fox",1849-02-17,"17 Feb 1849","","","","","","TALBOT6213.xml"
TALBOT6214,"Edgcumbe","née Feilding, Caroline Augusta","Talbot","William Henry Fox",1849-02-24,"24 Feb 1849","","","","","","TALBOT6214.xml"
TALBOT6215,"Montgomerie","George Stephen Molyneux","Talbot","William Henry Fox",1849-03-09,"9 Mar 1849","","","","","","TALBOT6215.xml"
TALBOT6216,"Gaisford","née Feilding, Henrietta Horatia Maria","Talbot","William Henry Fox",1849-03-12,"12 Mar 1849","","","","","","TALBOT6216.xml"
TALBOT6217,"Gliddon","George Robbins","Talbot","William Henry Fox",1849-03-19,"19 Mar 1849","","","","","","TALBOT6217.xml"
TALBOT6218,"Vallotton","Theodore James","Talbot","William Henry Fox",1849-03-29,"29 Mar 1849","","","","","","TALBOT6218.xml"
TALBOT6219,"Edgcumbe","née Feilding, Caroline Augusta","Talbot","William Henry Fox",1849-04-14,"14 Apr 1849","","","","","","TALBOT6219.xml"
TALBOT6220,"Malone","Thomas Augustine","Talbot","William Henry Fox",1849-04-18,"18 Apr 1849","","","","","","TALBOT6220.xml"
TALBOT6221,"Langenheim","Ernst Wilhelm (William)","Talbot","William Henry Fox",1849-04-25,"25 Apr 1849","","","","","","TALBOT6221.xml"
TALBOT6222,"Haigh","Daniel Henry","Talbot","William Henry Fox",1875-03-17,"17 Mar 1875","","","","","","TALBOT6222.xml"
TALBOT6223,"Gaisford","née Feilding, Henrietta Horatia Maria","Talbot","William Henry Fox",1849-05-01,"1 May 1849","","","","","","TALBOT6223.xml"
